Item Name,Category,Description,Daily Rate,Image File,Tags,Colorways
Stage Platform,Stage,Stage — available in 3 colours.,120.00,,4 ft; panel; platform; riser; stage,3
Stage Steps for Surround,Stage,Stage — available in 3 colours.,120.00,,APR; stage; stairs; steps; surround; walnut,3
Tent Drape Liner,Tent,Tent — available in 3 colours.,250.00,,ceiling; drape; liner; tent,3
York,Specialty,Specialty — available in 3 colours.,12.00,,avocado; avodcado; covington; estate; york,3
ft Spandex,Spandex,Spandex — available in 3 colours.,12.00,,8ft; Black; spandex,3
Anemone,Specialty,Specialty — available in 2 colours.,12.00,,anemone; turquoise,2
Atara Chair,Furniture,Furniture — available in 2 colours.,35.00,,Atara; Chair; emerald,2
Bistro Chair Cushion,Chairs,Chairs — available in 2 colours.,8.00,,Bistro; Black; Chair,2
Bread and Butter Plate,China,China — available in 2 colours.,2.00,,White; bread; butter; plate; royal,2
Brooke Lace,Specialty,Specialty — available in 2 colours.,12.00,,Red; burgundy; lace,2
Buffet Plate,China,China — available in 2 colours.,2.00,,White; buffet; plate; royal,2
Chandelier,Lighting,Lighting — available in 2 colours.,45.00,,chandelier; light,2
Chiffon Rosey,Rosey,Rosey — available in 2 colours.,12.00,,Ivory; chiffon; rosey,2
Coat Hanger,Coat Check Accommodations,Coat Check Accommodations — available in 2 colours.,12.00,,coat; hanger; metal,2
Coffee Table,Furniture,Furniture — available in 2 colours.,35.00,,Table; White; coffee,2
Country Floral,Specialty,Specialty — available in 2 colours.,12.00,,blue; country; floral; french; purple; specialty,2
Dinner Plate,China,China — available in 2 colours.,2.00,,,2
Disposable Quick Cover,Spandex,Spandex — available in 2 colours.,12.00,,Black; Round; cover; disposable; quick,2
Drapery Drawn and Tied,Drapery,Drapery — available in 2 colours.,12.00,,,2
Dupioni Sashes,Sashes,Sashes — available in 2 colours.,12.00,,Satin; burgundy; sashes,2
Fiori,Specialty,Specialty — available in 2 colours.,12.00,,Sequin; blush; lace,2
Flagstaff,Specialty,Specialty — available in 2 colours.,12.00,,a1; blush,2
Floral Ring,Decor,Decor — available in 2 colours.,15.00,,,2
Free Standing Cross,Decor,Decor — available in 2 colours.,15.00,,cross; free standing; wood,2
Glass Beverage Dispenser,Serving Ware,Serving Ware — available in 2 colours.,6.00,,2.5 gallon; Glass; beverage; dispenser,2
Gunnar Loveseat,Furniture,Furniture — available in 2 colours.,35.00,,couch; gunnar; loveseat; sofa; soft seating,2
Insulated Beverage Dispenser,Serving Ware,Serving Ware — available in 2 colours.,6.00,,10 gallon; beverage; dispenser; insulated,2
Marble Jacquard,Specialty,Specialty — available in 2 colours.,12.00,,Gold; jacquard,2
Matte Velvet Napkin,Napkins,Napkins — available in 2 colours.,12.00,,Lamour; blue; green; moss; napkin,2
Mini Petal,Specialty,Specialty — available in 2 colours.,12.00,,champagne; mini petal; petal,2
Mirrored Bar,Bars & Shelving,Bars & Shelving — available in 2 colours.,60.00,,Gold; bar; brushed gold,2
"Nicole Modular Set, Left Arm",Furniture,Furniture — available in 2 colours.,35.00,,Chair; gunnar; loveseat; soft seating,2
"Nicole Modular Set, Middle Chair",Furniture,Furniture — available in 2 colours.,35.00,,Chair; gunnar; loveseat; soft seating,2
"Nicole Modular Set, Right Arm",Furniture,Furniture — available in 2 colours.,35.00,,Chair; gunnar; loveseat; soft seating,2
Ocean,Specialty,Specialty — available in 2 colours.,12.00,,blue; oceana; specialty,2
Oval Platter,China,China — available in 2 colours.,2.00,,White; dinner; plate; royal,2
Oyster,Specialty,Specialty — available in 2 colours.,12.00,,Black; blue; oyster; specialty,2
Panama-Sage/Lt Blue Chloe,Specialty,Specialty — available in 2 colours.,12.00,,Sage; chloe; light blue; panama,2
Pasta Bowl,China,China — available in 2 colours.,2.00,,White; bowl; pasta,2
Pebbles,Specialty,Specialty — available in 2 colours.,12.00,,Gold; beacon; estate; pebbles; specialty,2
Pew,Chairs,Chairs — available in 2 colours.,8.00,,,2
Pole,Tables,Tables — available in 2 colours.,22.00,,,2
Polished Tray,Serving Ware,Serving Ware — available in 2 colours.,6.00,,polished; rectangular; serveware; tray,2
Replacement,Fees,Fees — available in 2 colours.,12.00,,damage,2
Roman Lace,Sequin,Sequin — available in 2 colours.,12.00,,Sequin; lace,2
Runner Allure,Runners,Runners — available in 2 colours.,12.00,,allure; blue; runner,2
Runner Bloom,Runners,Runners — available in 2 colours.,12.00,,Hunter; White; bloom; floral; runner; specialty,2
Runner Damasco,Runners,Runners — available in 2 colours.,12.00,,,2
Runner Madeline,Runners,Runners — available in 2 colours.,12.00,,,2
Runner Mixed Design,Runners,Runners — available in 2 colours.,12.00,,blue; mixed design; runner,2
Runner Organza,Runners,Runners — available in 2 colours.,12.00,,Lavender; lilac; narrow; organza; petite; purple; runner; sash,2
Runner Polyester,Runners,Runners — available in 2 colours.,12.00,,,2
Runner Rosey,Runners,Runners — available in 2 colours.,12.00,,champagne; rosey; runner,2
Runner Tulip,Specialty,Specialty — available in 2 colours.,12.00,,moss; tulip; turquoise,2
"Salad Plate 8""",China,China — available in 2 colours.,2.00,,alabaster; dinner; plate,2
Sash Lamour,Sashes,Sashes — available in 2 colours.,12.00,,Lamour; Satin; blue nile; lagoon; sash,2
Satin Stripe,Satin Stripe,Satin Stripe — available in 2 colours.,12.00,,Ivory; Satin Stripe,2
Sheet Pan,Catering Equipment,Catering Equipment — available in 2 colours.,40.00,,catering; pan; sheet,2
Silver Mercury Votive,Decor,Decor — available in 2 colours.,15.00,,candle; candleholder; large; mercury; silver; votive,2
Soiree,Drapery,Drapery — available in 2 colours.,12.00,,,2
"Soup Bowl 7.5""",China,China — available in 2 colours.,2.00,,Gold; White; bowl; royal; soup,2
"Soup Plate 8""",China,China — available in 2 colours.,2.00,,White; plate; royal; soup,2
Spandex Pipe Cover/Sleeve,Spandex,Spandex — available in 2 colours.,12.00,,Satin; orange; sashes,2
Specialty Stripe Napkin,Napkins,Napkins — available in 2 colours.,12.00,,Black; Polyester; Stripe; napkin,2
Stage Corner,Stage,Stage — available in 2 colours.,120.00,,corner; stage; surround,2
Stage Railing,Stage,Stage — available in 2 colours.,120.00,,4 ft; rail; railing; stage,2
Tent Side Walls,Tent,Tent — available in 2 colours.,250.00,,tent; wall,2
Trash Can with Wheels,Catering Equipment,Catering Equipment — available in 2 colours.,40.00,,35 gallon; can; disposal; trash; wheels,2
Tulle Table Skirt,Specialty,Specialty — available in 2 colours.,12.00,,Table; skirt; tulle,2
Velvet Persia,Specialty,Specialty — available in 2 colours.,12.00,,caper; velvet,2
Victorian Scroll Velvet,Specialty,Specialty — available in 2 colours.,12.00,,burgundy; estate,2
White & Black Dance Floor,Dance Floor,Dance Floor — available in 2 colours.,180.00,,Black; White; dance; floor; panel,2
White Carpet,Carpet,Carpet — available in 2 colours.,90.00,,carpet,2
White Vinyl Tent Side Wall,Tent,Tent — available in 2 colours.,250.00,,Side; sidewall; tent; wall,2
White and Black Dance Floor,Dance Floor,Dance Floor — available in 2 colours.,180.00,,dance; floor,2
Wood Column,Decor,Decor — available in 2 colours.,15.00,,White; column; wood,2
Wood Column w/trim details,Decor,Decor — available in 2 colours.,15.00,,column; custom; paint; wood,2
". 75"" Salad/Dessert Plate",China,China.,2.00,,,1
"/4"" Plywood on 2""x6"" Subfloor per sf",Tent,Tent.,250.00,,Flooring; Subfloor,1
"24"" Adjustable Stage Leg",Stage,Stage.,120.00,,adjustable; leg; legs; stage,1
"40"" Adjustable Stage Leg*",Stage,Stage.,120.00,,adjustable; leg; legs; stage,1
Acrylic Beaded Band Chargers,Chargers,Chargers.,3.00,,Gold; chargers,1
Acrylic Easel,Furniture,Furniture.,35.00,,art; easel; stand,1
Acrylic Podium,Conventions/Meetings/Events,Conventions/Meetings/Events.,12.00,,acrylic; podium,1
Adding Padded Feet to Chair,Chairs,Chairs.,8.00,,Feet; Padded; adding,1
Additional Breakdown Fee,Fees,Fees.,12.00,,,1
Additional Set-up Fee,Fees,Fees.,12.00,,,1
Additional Truck Rental,Fees,Fees.,12.00,,,1
Adorn Spruce BBJ,Specialty,Specialty.,12.00,,Adorn; BBJ; Spruce,1
After Hours Breakdown Fee,Fees,Fees.,12.00,,after hours; breakdown; fee,1
After Hours Set-up Fee,Fees,Fees.,12.00,,after hours; fee; set up,1
After hours delivery,Fees,Fees.,12.00,,Travel; delivery; late; night,1
After hours pickup,Fees,Fees.,12.00,,Travel; late; night; pickup,1
Aisle Runner,Polyester,Polyester.,12.00,,aisle; poly cotton; runner,1
Aldridge Arbor Drape,Drapery,Drapery.,12.00,,Arbor; drape,1
Alexander Settee,Furniture,Furniture.,35.00,,couch; settee; sofa; soft seating,1
Alpine Chargers,Chargers,Chargers.,3.00,,Glass; chargers; silver; silver rim,1
Alpine Gold Rim Glass Charger (Packs of 10),Chargers,Chargers.,3.00,,Alpine; Glass; Gold; chargers; gold rim,1
Alpine Silver Rim Glass Charger (Packs of 10),Chargers,Chargers.,3.00,,Alpine; Glass; chargers; silver,1
Amelia Lace,Specialty,Specialty.,12.00,,White; lace,1
Appointment Fee,Fees,Fees.,12.00,,appointment; fee,1
Arbor Drape,Drapery,Drapery.,12.00,,Arbor; drape,1
Arbor Vine Napkins,Napkins,Napkins.,12.00,,Arbor; Vine; White/Blue; blue; light blue; napkin,1
Astroturf,Carpet,Carpet.,90.00,,astroturf; carpet,1
Astroturf Dance Floor,Dance Floor,Dance Floor.,180.00,,,1
Atlas,Specialty,Specialty.,12.00,,Overlay; White; sheer,1
BASL Bar Backdrop Drape,Drapery,Drapery.,12.00,,bar; barn at shady lane; basl; drape,1
BASL Doorway Drape,Drapery,Drapery.,12.00,,barn at shady lane; basl; bathroom; doorway; drape; hallway,1
BASL Hallway Parted Drape,Drapery,Drapery.,12.00,,barn at shady lane; basl; bathroom; doorway; drape; hallway,1
BASL Patio/Park Lot Doorway drape sheer,Drapery,Drapery.,12.00,,,1
BASL White string lights-7 beams + supply of power and extension cord,Lighting,Lighting.,45.00,,barn at shady lane; basl; ceiling; string; string lights,1
BAUHAUSGOLD COFFEE TABLE,Furniture,Furniture.,35.00,,Table; coffee,1
BBJ Hellene Gold Charger,Chargers,Chargers.,3.00,,BBJ; Gold; acrylic; chargers; hellene,1
BBJ Meridian 13in Charger Bronze (Packs of 10),Chargers,Chargers.,3.00,,BBJ; bronze; chargers; meridian,1
"BBJ Placid Chateau 120""",Polyester,Polyester.,12.00,,BBJ; Polyester; Premium Polyester,1
"BBJ Verdigris Ezra 120""",Polyester,Polyester.,12.00,,BBJ; Polyester; Premium Polyester,1
BMA Cafe Left and Right Wall Drape,Drapery,Drapery.,12.00,,art; bma; drape; hallway; wall,1
Back Onyx BBJ,Specialty,Specialty.,12.00,,BBJ; onyx,1
Bali Barstool,Chairs,Chairs.,8.00,,Bali; barstool; wood,1
Bali Chair-Brown,Chairs,Chairs.,8.00,,Bali; Chair; brown; wood,1
Bali Chair-White wash,Chairs,Chairs.,8.00,,Bali; Chair; wood,1
"Bali Outdoor Set, Coffee Table",Furniture,Furniture.,35.00,,,1
"Bali Outdoor Set, Lounge Chair",Furniture,Furniture.,35.00,,,1
"Bali Outdoor Set, Sofa (3",Furniture,Furniture.,35.00,,,1
Bamboo Folding Chair,Chairs,Chairs.,8.00,,,1
Bamboo Garden,Specialty,Specialty.,12.00,,bamboo; garden; green; specialty,1
Banquet Chair Cover,Chair Cover,Chair Cover.,12.00,,Banquet; Black; Chair Cover,1
Bar Height Chair,Chairs,Chairs.,8.00,,,1
Bar Height Horizon,Chairs,Chairs.,8.00,,Chair; White; bar height; horizon; whitewashed; wood,1
Base Linen,Polyester,Polyester.,12.00,,,1
Base Plate 62 lb.,Infrastructure,Infrastructure.,75.00,,62lb; base; plate,1
Base Weight: 30 lb. (Rubber),Infrastructure,Infrastructure.,75.00,,30lb; base; rubber; weight,1
Basic Ice Bucket,Catering Equipment,Catering Equipment.,40.00,,ice bucket,1
Basil Faille BBJ,Specialty,Specialty.,12.00,,BBJ; basil,1
Battery Powered LED Lights,Lighting,Lighting.,45.00,,LED; Lights; battery,1
Beason,Specialty,Specialty.,12.00,,brown; specialty; texture,1
Beer Tap Wall,Bars & Shelving,Bars & Shelving.,60.00,,back; bar; cube; wall,1
Bellini Chair,Chairs,Chairs.,8.00,,Chair; White; bellini; modern,1
Bengaline,Bengaline,Bengaline.,12.00,,bengaline; gunmetal,1
Beverage Cambro,Serving Ware,Serving Ware.,6.00,,5 gallon; beverage; cambro; dispenser; insulated,1
Birch Dance Floor 4'x4',Dance Floor,Dance Floor.,180.00,,Dance floor; birch,1
Bistro Table,Tables,Tables.,22.00,,Bistro; Highboy; Table; base,1
Black Bar,Bars & Shelving,Bars & Shelving.,60.00,,Black; Round; bar; piece; section,1
Black Bar Mat,Barware,Barware.,4.00,,Mat; bar; barware,1
Black Carpet -4' x 25',Carpet,Carpet.,90.00,,black carpet; carpet,1
Black Contour BBJ,Specialty,Specialty.,12.00,,BBJ; Black,1
Black Dance Floor 4'x4',Dance Floor,Dance Floor.,180.00,,Black; Dance floor,1
Black Pipe And Drape Iron City Mezzanine,Drapery,Drapery.,12.00,,,1
Black Podium,Conventions/Meetings/Events,Conventions/Meetings/Events.,12.00,,acrylic; podium,1
Black Stage Stair,Stage,Stage.,120.00,,stage; stair; step,1
Black String Lights,Lighting,Lighting.,45.00,,,1
Black and White Cabana Stripe,Specialty,Specialty.,12.00,,Polyester; Premium Polyester; Stripe,1
Black and White Checkered Covering 4'x16',Dance Floor,Dance Floor.,180.00,,Dance floor; black and white,1
Black and White Dance Floor,Dance Floor,Dance Floor.,180.00,,Dance floor,1
Black and White Dance Floor 28' x 24',Dance Floor,Dance Floor.,180.00,,Dance floor; black and white,1
Black and White Dance Floor 28'x 28',Dance Floor,Dance Floor.,180.00,,White; dance; floor; panel,1
Black and White Dance Floor 4'x16',Dance Floor,Dance Floor.,180.00,,Dance floor; black and white,1
Black and White checkered vinyl,Decor,Decor.,15.00,,,1
Blanchette Bench,Furniture,Furniture.,35.00,,,1
Blanchette Settee,Furniture,Furniture.,35.00,,,1
Blooming Lace BBJ,Specialty,Specialty.,12.00,,BBJ,1
Blue & White Garden Stool,Chairs,Chairs.,8.00,,White; blue; chinoiserie; garden; stool,1
Blue Tufted Sofa,Furniture,Furniture.,35.00,,couch; sofa; soft seating,1
Bone Faille BBJ,Specialty,Specialty.,12.00,,BBJ,1
"Bowl 7.5""",China,China.,2.00,,White; bowl; soup,1
Bowline,Specialty,Specialty.,12.00,,Lamour; bowline; yellow,1
Box Fan,Heating and Cooling,Heating and Cooling.,65.00,,box fan,1
Boxwood Backdrop including Support Infrastructure,Decor,Decor.,15.00,,backdrop; boxwood,1
Boxwood Insert,Decor,Decor.,15.00,,bar; boxwood; insert,1
Boxwood Wall,Decor,Decor.,15.00,,bar; boxwood; insert,1
Bracket,Equipment,Equipment.,12.00,,,1
Brandy Snifter,Glassware,Glassware.,2.00,,Glass; brandy; snifter,1
"Brass Table Number Stands 8""",Table Service,Table Service.,3.00,,Holder; Menu; Number; Table; brass; card; stand,1
Bravado,Specialty,Specialty.,12.00,,,1
Bravo Chair,Furniture,Furniture.,35.00,,Chair; brando; bravo; champagne; emerald,1
"Bread & Butter Plate 6""",China,China.,2.00,,White; bread; butter; plate; platinum; royal,1
Bread Plate,China,China.,2.00,,dish,1
"Bread and Butter Plate 6""",China,China.,2.00,,Gold; White; bread; butter; plate; royal,1
Bring Samples,Fees,Fees.,12.00,,sample; samples,1
Broken China,Fees,Fees.,12.00,,bowl; broken; china; lost; missing; plate,1
Broken Glass,Fees,Fees.,12.00,,Glass; broken; damage,1
Broken Rack,Fees,Fees.,12.00,,flatware; fork; knife; lost; missing; spoon,1
Broken/Missing Melamine Plate Cover,Fees,Fees.,12.00,,,1
Broken/Missing Plastic Pitcher,Fees,Fees.,12.00,,,1
Brushed Gold Acrylic Charger (Packs of 10),Chargers,Chargers.,3.00,,Gold; acrylic; chargers,1
Bulk Ice,Catering Equipment,Catering Equipment.,40.00,,,1
Burlap Cuff,Sashes,Sashes.,12.00,,burlap; sashes,1
Burlap Overlay,Specialty,Specialty.,12.00,,Overlay; burlap,1
Burned Napkin,Fees,Fees.,12.00,,,1
CUSTOM COLOR,Fees,Fees.,12.00,,White; bar; color; custom; wood,1
Cake Backdrop Drape,Drapery,Drapery.,12.00,,door; doorway; drape,1
"Cake Stand-white wash wood-14""x14"" square",Catering Equipment,Catering Equipment.,40.00,,cake; cake stand; stand; wooden,1
"Calico -Green, Silver and Gold",Specialty,Specialty.,12.00,,Gold; cascade; grren,1
"Calico -Green, Silver and Gold *french seam",Specialty,Specialty.,12.00,,Gold; cascade; grren,1
Calico Overlay,Specialty,Specialty.,12.00,,Overlay; calico; cascade; metal; mixed,1
Cameo Louvre BBJ,Specialty,Specialty.,12.00,,BBJ; cameo; louvre,1
Cameo Tori BBJ,Specialty,Specialty.,12.00,,BBJ; cameo; louvre,1
Camille Natural BBJ,Specialty,Specialty.,12.00,,BBJ,1
Caribener,Lighting,Lighting.,45.00,,,1
Catalina BBJ,Specialty,Specialty.,12.00,,BBJ; catalina,1
Cedar Arbor,Furniture,Furniture.,35.00,,Arbor,1
Ceiling Drape,Drapery,Drapery.,12.00,,ceiling; drape,1
Ceremonial Couch,Furniture,Furniture.,35.00,,,1
Ceremony Backdrop Drape,Drapery,Drapery.,12.00,,White; drape; drapery,1
Ceremony Stage Drape,Drapery,Drapery.,12.00,,,1
Chafer Dish Half Insert,Serving Pieces,Serving Pieces.,6.00,,Rectangle; chafer; food; pan; rectangular; roll; roll top; top,1
Chafer Dish Insert,Serving Pieces,Serving Pieces.,6.00,,Rectangle; chafer; food; pan; rectangular; roll; roll top; top,1
Chambray Stripe,Specialty,Specialty.,12.00,,Sage; Stripe; specialty,1
Champagne Bucket,Barware,Barware.,4.00,,bar; barware; bucket; champagne,1
Champagne Flat/Coupe,Glassware,Glassware.,2.00,,6 oz.; Glass; champagne; coupe; flat,1
Champagne Flute,Glassware,Glassware.,2.00,,Glass; basic; champagne; flute,1
Charcoal Grill 3'x6' *Does not include charcoal,Catering Equipment,Catering Equipment.,40.00,,,1
Charmed Ivory BBJ,Specialty,Specialty.,12.00,,BBJ; Ivory; charmed,1
Charmed Taupe BBJ,Specialty,Specialty.,12.00,,BBJ,1
Chateau Garden,Specialty,Specialty.,12.00,,estate; garden; light olive; olive; specialty,1
Chiavari Chair Sash,Sashes,Sashes.,12.00,,,1
Children's Booster Seat,Chairs,Chairs.,8.00,,Chair; booster; children; kids; seat,1
Children's Chair,Chairs,Chairs.,8.00,,Chair; children's; kids; seating,1
Children's High Chair,Chairs,Chairs.,8.00,,Chair; children; high; kids; seat,1
Children's Table,Tables,Tables.,22.00,,Table; children's; kids,1
Citrine Radiance BBJ,Specialty,Specialty.,12.00,,BBJ; citrine,1
Clamp Bracket,Equipment,Equipment.,12.00,,,1
Cleaning 48 Spandex,Cleaning,Cleaning.,12.00,,,1
Cleaning 84 X 84,Cleaning,Cleaning.,12.00,,cleaning,1
Cleaning Chair Cover,Cleaning,Cleaning.,12.00,,,1
Cleaning Fee,Fees,Fees.,12.00,,china; cleaning; failure; flatware; glassware; rinse,1
Cleaning Satin Sash,Cleaning,Cleaning.,12.00,,,1
Cleaning skirt,Cleaning,Cleaning.,12.00,,cleaning,1
Clear Tent Side Wall,Tent,Tent.,250.00,,tent; wall,1
Clearspan Tent,Tent,Tent.,250.00,,,1
Cloud Wash,Specialty,Specialty.,12.00,,brown; moss; specialty,1
Coat Check Tickets (100),Coat Check Accommodations,Coat Check Accommodations.,12.00,,check; coat; tickets,1
Column,Furniture,Furniture.,35.00,,column; concrete,1
Column Drape,Drapery,Drapery.,12.00,,,1
Commercial Freezer,Catering Equipment,Catering Equipment.,40.00,,commercial; freezer; ice; storage,1
Contract Name and Billing Address:,Fees,Fees.,12.00,,,1
Convection Oven -Propane (included),Catering Equipment,Catering Equipment.,40.00,,,1
Cooler,Barware,Barware.,4.00,,bar; barware; cooler,1
Copper Mug (racks of 16),Glassware,Glassware.,2.00,,,1
Cordial,Glassware,Glassware.,2.00,,Glass; cordial,1
Corsage Ivory BBJ,Specialty,Specialty.,12.00,,BBJ,1
Corsage White BBJ,Specialty,Specialty.,12.00,,BBJ; corsage,1
Cosmos Dupioni,Dupioni,Dupioni.,12.00,,Dupioni; yellow,1
Country Lace Overlay,Specialty,Specialty.,12.00,,Overlay; White; country; lace,1
Coupe Serving Bowl,Serving Ware,Serving Ware.,6.00,,,1
Crate,Catering Equipment,Catering Equipment.,40.00,,missing,1
Credit,Fees,Fees.,12.00,,credit; discount; merchant credit; refund,1
Credit Card Convenience Fee,Fees,Fees.,12.00,,card; credit; fee,1
Creme Lennox BBJ,Specialty,Specialty.,12.00,,BBJ; creme; lennox,1
Crossbar 2.0: 7'-12',Infrastructure,Infrastructure.,75.00,,crossbar,1
Crush,Crinkle,Crinkle.,12.00,,Ivory; crush; kendall,1
Crystal Champagne Flute,Glassware,Glassware.,2.00,,Glass; champagne; crystal; flute,1
Crystal Red Wine Glass,Glassware,Glassware.,2.00,,Glass; Red; crystal; wine,1
Crystal Water Glass,Glassware,Glassware.,2.00,,Glass; crystal; water,1
Crystal White Wine Glass,Glassware,Glassware.,2.00,,Glass; Wine Glass; crystal; white wine,1
Cupcake Stand,Catering Equipment,Catering Equipment.,40.00,,,1
Custom Bar Inlay,Decor,Decor.,15.00,,,1
Custom Bar Insert,Bars & Shelving,Bars & Shelving.,60.00,,bar; custom; insert,1
Custom Bar Skirting,Skirts,Skirts.,12.00,,bar; custom; fabric; skirt,1
Custom Ceremony Floor,Dance Floor,Dance Floor.,180.00,,Dance floor; White; custom,1
Custom Dance Floor Color,Services,Services.,12.00,,,1
Custom Linen,Specialty,Specialty.,12.00,,,1
Custom Seating Chart,Drapery,Drapery.,12.00,,custom; seating; seating chart,1
Custom Sidewall,Tent,Tent.,250.00,,,1
Custom Stage Skirting,Skirts,Skirts.,12.00,,custom; fabric; skirt,1
Custom Trim Piece,Dance Floor,Dance Floor.,180.00,,Dance floor; White; custom; piece; trim,1
Custom trapezoidal tent structure,Tent,Tent.,250.00,,,1
"Cut,sew,install",Fees,Fees.,12.00,,,1
DJ Facade,Furniture,Furniture.,35.00,,dj; facade,1
Dahlia,Specialty,Specialty.,12.00,,champagne; dahlia; floral; specialty,1
Damaged Chair,Fees,Fees.,12.00,,Chair; damage,1
Damaged Linen,Fees,Fees.,12.00,,,1
Damages,Fees,Fees.,12.00,,,1
Damask Black,Specialty,Specialty.,12.00,,Black; damask; estate; madeline,1
Dance Floor 20'x24',Dance Floor,Dance Floor.,180.00,,black and white; dance; floor; panel,1
Dance Floor 24'x20',Dance Floor,Dance Floor.,180.00,,dance; floor; panel,1
Dance Floor 24'x24',Dance Floor,Dance Floor.,180.00,,black and white; dance; floor; panel,1
Dance Floor 28'x 24',Dance Floor,Dance Floor.,180.00,,White; dance; floor; panel,1
Dance Floor 28'x 28',Dance Floor,Dance Floor.,180.00,,dance; floor; panel,1
Dance Floor 32'x24',Dance Floor,Dance Floor.,180.00,,dance; floor; panel,1
Dance Floor Underlay,Dance Floor,Dance Floor.,180.00,,Dance floor; additional set up; dance; underlay,1
Dandy,Specialty,Specialty.,12.00,,dandy; yellow,1
Dehlia,Specialty,Specialty.,12.00,,dehli; estate; specialty,1
Delivery Fee,Fees,Fees.,12.00,,,1
Delivery Setup/Breakdown Fee,Fees,Fees.,12.00,,,1
Demitasse Cup,China,China.,2.00,,White; cup; demitasse; royal,1
Demitasse Saucer,China,China.,2.00,,White; demitasse; royal; saucer,1
Denali Sofa,Furniture,Furniture.,35.00,,couch; sofa; soft seating,1
"Disco Ball 22""",Services,Services.,12.00,,,1
"Disco Ball 32""",Services,Services.,12.00,,,1
Disco Ball Installation,Services,Services.,12.00,,,1
Disco Ball Spinner,Services,Services.,12.00,,,1
Dolly,Equipment,Equipment.,12.00,,,1
Doorway Drape,Drapery,Drapery.,12.00,,door; doorway; drape,1
Dotty-Ivory,Specialty,Specialty.,12.00,,Ivory; covington; dotty; laserlights; specialty,1
Drafting Fee,Fees,Fees.,12.00,,,1
Drape -DP Sheer Silver 10'x18',Drapery,Drapery.,12.00,,drape; panel; sheer; silver,1
Drape 60 Feet Black Polyester,Drapery,Drapery.,12.00,,,1
Drape Base and Upright,Drapery,Drapery.,12.00,,base; drape; drapery; upright,1
Drape Damages,Drapery,Drapery.,12.00,,,1
Drape Lush Velvet,Drapery,Drapery.,12.00,,blue; drape; drapery; royal; velvet,1
Drape Matte Velvet,Drapery,Drapery.,12.00,,Hunter; drape; drapery; velvet,1
Drape Panel Black Polyester 10'x18',Drapery,Drapery.,12.00,,,1
Drape Panel Black Polyester 5'x18',Drapery,Drapery.,12.00,,,1
Drape Polyester,Drapery,Drapery.,12.00,,White; drape; drapery,1
Drape Sheer,Drapery,Drapery.,12.00,,White; drape; drapery; sheer,1
Drape Velvet,Drapery,Drapery.,12.00,,White; drape; drapery,1
Drapery,Drapery,Drapery.,12.00,,,1
Drapery Infrastructure,Drapery,Drapery.,12.00,,,1
Drapery Sheer,Drapery,Drapery.,12.00,,,1
Drawn Drapery Enclosure w Backdrop,Drapery,Drapery.,12.00,,,1
Drayton Stripe Oxford BBJ,Specialty,Specialty.,12.00,,BBJ,1
Dressing Pitcher,Serving Ware,Serving Ware.,6.00,,,1
Dupioni Napkin -Burnt Orange (Packs of 10),Napkins,Napkins.,12.00,,Dupioni; napkin; orange; tangerine,1
Easel,Furniture,Furniture.,35.00,,art; easel; stand,1
Eclipse,Specialty,Specialty.,12.00,,Eclipse; silver,1
Economy Tongs,Serving Ware,Serving Ware.,6.00,,fork; serve; serveware; stainless; steel; tongs,1
Elle Coffee Table,Furniture,Furniture.,35.00,,Gold; Table; coffee,1
Emotions,Specialty,Specialty.,12.00,,specialty,1
Enchanted Ivy,Specialty,Specialty.,12.00,,Sage; maybelle; mayfair,1
English Lace,Specialty,Specialty.,12.00,,Ivory; english; lace; specialty,1
English Lace Overlay,Specialty,Specialty.,12.00,,Ivory; Overlay; english; lace,1
English Overlay,Specialty,Specialty.,12.00,,Overlay; White; english; lace,1
Estate Table,Tables,Tables.,22.00,,Table; estate,1
Estate Table *LR,Tables,Tables.,22.00,,Table; estate,1
Ethereal Mist,Specialty,Specialty.,12.00,,aquarium; brown; ethereal; mist; moss,1
Eve Sofa,Furniture,Furniture.,35.00,,Eve; sofa,1
Event service touch up,Services,Services.,12.00,,Birmingham; Travel; standard,1
Executive Desk Chair,Furniture,Furniture.,35.00,,,1
Fabric Purchase,Fees,Fees.,12.00,,fabric; purchase; yardage,1
Faille Black BBJ,Specialty,Specialty.,12.00,,BBJ,1
Failure to Rinse,Fees,Fees.,12.00,,caterer; cleaning; rinse; serve,1
Fancy Lace Overlay,Specialty,Specialty.,12.00,,Overlay; White; fancy; lace,1
Farm Table-dark wood,Tables,Tables.,22.00,,6ft; Rectangle; Table; wood,1
Farm Table-light wood,Tables,Tables.,22.00,,6ft; Rectangle; Table; wood,1
Felt Feet Surcharge,Fees,Fees.,12.00,,,1
"Flameless 10"" Candles",Specialty,Specialty.,12.00,,candle; candles; flameless,1
Flatware,Flatware,Flatware.,1.00,,,1
Flexible Flood Light,Lighting,Lighting.,45.00,,,1
Flip Fee,Fees,Fees.,12.00,,fee; flip,1
Floating Cube Bar Back Wall,Bars & Shelving,Bars & Shelving.,60.00,,back; bar; cube; wall,1
Flooring,Tent,Tent.,250.00,,Flooring; Subfloor,1
Florence Lace Runner,Sequin,Sequin.,12.00,,Sequin; champagne; floral; florene; runner,1
Food Cambro,Catering Equipment,Catering Equipment.,40.00,,cambro; food; insulated; transport,1
